date,price
2024-03-01,0.9949999451637268
2024-03-04,0.9800000190734863
2024-03-05,0.9850000143051147
2024-03-06,0.9300000071525574
2024-03-07,0.9300000071525574
2024-03-08,0.9649999737739563
2024-03-11,0.9350000023841858
2024-03-12,0.9549999833106995
2024-03-14,1.0399999618530273
2024-03-15,1.0499999523162842
2024-03-18,1.059999942779541
2024-03-18,1.059999942779541
2024-03-19,1.149999976158142
2024-03-20,1.125
2024-03-22,1.1200000047683716
2024-03-25,1.0700000524520874
2024-03-25,1.1200000047683716
2024-03-26,1.090000033378601
2024-03-27,1.0499999523162842
