date,price
2024-03-01,1.850000023841858
2024-03-04,1.815000057220459
2024-03-05,1.815000057220459
2024-03-06,1.7649999856948853
2024-03-07,1.7899999618530273
2024-03-08,1.7899999618530273
2024-03-11,1.7769999504089355
2024-03-12,1.7799999713897705
2024-03-14,1.774999976158142
2024-03-15,1.7920000553131104
2024-03-18,1.784999966621399
2024-03-19,1.7799999713897705
2024-03-20,1.7999999523162842
2024-03-20,1.809999942779541
2024-03-22,1.8350000381469727
2024-03-25,1.850000023841858
2024-03-25,1.8700000047683716
