"ELDERS LIMITED","ELD",
"EMERALD RESOURCES NL","EMR",
"ELANOR INVESTORS GROUP","ENN",
"VANECK VIDEO GAMING AND ESPORTS ETF","ESPO",
"BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF","ETHI",
"GLOBAL X METAL SECURITIES AUSTRALIA LIMITED","ETPMAG",
"GLOBAL X METAL SECURITIES AUSTRALIA LIMITED","ETPMPT",
"EVOLUTION MINING LIMITED","EVN",
"EVT LIMITED","EVT",
"BETASHARES FTSE 100 ETF","F100",
"BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF","FAIR",
"GLOBAL X FANG+ ETF","FANG",
"FLETCHER BUILDING LIMITED","FBU",
"FIDUCIAN GROUP LIMITED","FID",
"FLIGHT CENTRE TRAVEL GROUP LIMITED","FLT",
"FORTESCUE LTD","FMG",
"BETASHARES GLOBAL AGRICULTURE ETF - CURRENCY HEDGED","FOOD",
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","FPH",
"FLEETPARTNERS GROUP LIMITED","FPR",
"BETASHARES GLOBAL ENERGY COMPANIES ETF - CURRENCY HEDGED","FUEL",
"GARDA PROPERTY GROUP","GDF",
"GENERATION DEVELOPMENT GROUP LIMITED","GDG",
"VANECK GOLD MINERS ETF","GDX",
"BETASHARES GEARED AUSTRALIAN EQUITY FUND (HEDGE FUND)","GEAR",
"G8 EDUCATION LIMITED","GEM",
"GENESIS MINERALS LIMITED","GMD",
"GOODMAN GROUP","GMG",
"GRAINCORP LIMITED","GNC",
"GR ENGINEERING SERVICES LIMITED","GNG",
"GLOBAL X METAL SECURITIES AUSTRALIA LIMITED.","GOLD",
"GOLD ROAD RESOURCES LIMITED","GOR",
"GROWTHPOINT PROPERTIES AUSTRALIA","GOZ",
"GPT GROUP","GPT",
"G.U.D. HOLDINGS LIMITED","GUD",
"GWA GROUP LIMITED.","GWA",
"BETASHARES GLOBAL CYBERSECURITY ETF","HACK",
"HEALTHCO HEALTHCARE AND WELLNESS REIT","HCW",
"HOMECO DAILY NEEDS REIT","HDN",
"HELIA GROUP LIMITED","HLI",
"HELLOWORLD TRAVEL LIMITED","HLO",
"HEALIUS LIMITED","HLS",
"HEARTS AND MINDS INVESTMENTS LIMITED","HM1",
"HMC CAPITAL LIMITED","HMC",
"HOTEL PROPERTY INVESTMENTS","HPI",
"HANSEN TECHNOLOGIES LIMITED","HSN",
"HUB24 LIMITED","HUB",
"HARVEY NORMAN HOLDINGS LIMITED","HVN",
"HYPERION GBL GROWTH COMPANIES FUND (MANAGED FUND)","HYGG",
"ISHARES ASIA 50 ETF","IAA",
"INSURANCE AUSTRALIA GROUP LIMITED","IAG",
"INTEGRAL DIAGNOSTICS LIMITED","IDX",
"IDP EDUCATION LIMITED","IEL",
"ISHARES MSCI EMERGING MARKETS ETF","IEM",
"ISHARES EUROPE ETF","IEU",
"INSIGNIA FINANCIAL LTD","IFL",
"INFOMEDIA LTD","IFM",
"VANECK FTSE GLOBAL INFRASTRUCTURE (HEDGED) ETF","IFRA",
"IVE GROUP LIMITED","IGL",
"IGO LIMITED","IGO",
"ISHARES MSCI JAPAN ETF","IJP",
"ILUKA RESOURCES LIMITED","ILU",
"IMDEX LIMITED","IMD",
"INGENIA COMMUNITIES GROUP","INA",
"INGHAMS GROUP LIMITED","ING",
"IPH LIMITED","IPH",
"INCITEC PIVOT LIMITED","IPL",
"IRESS LIMITED","IRE",
"ISHARES S&P 500 ETF","IVV",
"ISHARES GLOBAL HEALTHCARE ETF","IXJ",
"JB HI-FI LIMITED","JBH",
"JUDO CAPITAL HOLDINGS LIMITED","JDO",
"JPMORGAN EQ PREM INCOME ACTIVE ETF (MANAGED FUND)","JEPI",
"JAMES HARDIE INDUSTRIES PLC","JHX",
"JUMBO INTERACTIVE LIMITED","JIN",
"JOHNS LYNG GROUP LIMITED","JLG",
"KAROON ENERGY LTD","KAR",
"KINGSGATE CONSOLIDATED LIMITED.","KCN",
"KOGAN.COM LTD","KGN",
"KELSIAN GROUP LIMITED","KLS",
"KELLY PARTNERS GROUP HOLDINGS LIMITED","KPG",
"K & S CORPORATION LIMITED","KSC",
"LINDSAY AUSTRALIA LIMITED","LAU",
"LYNCH GROUP HOLDINGS LIMITED","LGL",
"LIFESTYLE COMMUNITIES LIMITED","LIC",
"LENDLEASE GROUP","LLC",
"GLOBAL X ULTRA LONG NASDAQ 100 HEDGE FUND","LNAS",
"LIGHT & WONDER INC.","LNW",
"LOVISA HOLDINGS LIMITED","LOV",
"L1 LONG SHORT FUND LIMITED","LSF",
"ARCADIUM LITHIUM PLC","LTM",
"LIONTOWN RESOURCES LIMITED","LTR",
"LYNAS RARE EARTHS LIMITED","LYC",
"LYCOPODIUM LIMITED","LYL",
"MA FINANCIAL GROUP LIMITED","MAF",
"MACQUARIE TECHNOLOGY GROUP LIMITED","MAQ",
"MAGELLAN FINANCIAL GROUP LIMITED","MFG",
"MAAS GROUP HOLDINGS LIMITED","MGH",
"MIRVAC GROUP","MGR",
"MINERAL RESOURCES LIMITED","MIN",
"MCMILLAN SHAKESPEARE LIMITED","MMS",
"MONADELPHOUS GROUP LIMITED","MND",
"VANECK MORNINGSTAR WIDE MOAT ETF","MOAT",
"MEGAPORT LIMITED","MP1",
"MEDIBANK PRIVATE LIMITED","MPL",
"MACQUARIE GROUP LIMITED","MQG",
"MQ WALTER SCOTT GLBL EQ ACTIVE ETF (MANAGED FUND)","MQWS",
"METCASH LIMITED","MTS",
"VANECK AUSTRALIAN RESOURCES ETF","MVR",
"VANECK AUSTRALIAN EQUAL WEIGHT ETF","MVW",
"MYSTATE LIMITED","MYS",
"MAYNE PHARMA GROUP LIMITED","MYX",
"NATIONAL AUSTRALIA BANK LIMITED","NAB",
"NANOSONICS LIMITED","NAN",
"NICK SCALI LIMITED","NCK",
"BETASHARES NASDAQ 100 ETF","NDQ",
"NINE ENTERTAINMENT CO. HOLDINGS LIMITED","NEC",
"NEWMONT CORPORATION","NEM",
"NEUREN PHARMACEUTICALS LIMITED","NEU",
"NEW HOPE CORPORATION LIMITED","NHC",
"NIB HOLDINGS LIMITED","NHF",
"NATIONAL STORAGE REIT","NSR",
"NORTHERN STAR RESOURCES LTD","NST",
"NUFARM LIMITED","NUF",
"NRW HOLDINGS LIMITED","NWH",
"NETWEALTH GROUP LIMITED","NWL",
"NEWS CORPORATION..","NWS",
"NEXTDC LIMITED","NXT",
"OMNI BRIDGEWAY LIMITED","OBL",
"OFX GROUP LIMITED","OFX",
"OOH!MEDIA LIMITED","OML",
"BETASHARES CRUDE OIL INDEX ETF-CURRENCY HEDGED (SYNTHETIC)","OOO",
