date,price
2024-03-01,2.890000104904175
2024-03-04,2.990000009536743
2024-03-05,3.1500000953674316
2024-03-06,3.0799999237060547
2024-03-07,3.119999885559082
2024-03-08,3.109999895095825
2024-03-11,3.049999952316284
2024-03-12,3.0350000858306885
2024-03-14,3.180000066757202
2024-03-15,3.065000057220459
2024-03-18,2.9100000858306885
2024-03-19,2.8450000286102295
2024-03-20,2.755000114440918
2024-03-21,2.8550000190734863
2024-03-22,2.7899999618530273
2024-03-25,2.744999885559082
2024-03-25,2.7899999618530273
2024-03-26,2.759999990463257
2024-03-27,2.9100000858306885
2024-04-16,3.5299999713897705
2024-05-09,3.450000047683716
