date,price
2024-03-01,7.929999828338623
2024-03-04,7.800000190734863
2024-03-05,7.739999771118164
2024-03-06,7.78000020980835
2024-03-07,7.889999866485596
2024-03-08,7.840000152587891
2024-03-11,7.53000020980835
2024-03-12,7.105000019073486
2024-03-14,7.199999809265137
2024-03-15,7.09499979019165
2024-03-18,7.050000190734863
2024-03-19,6.994999885559082
2024-03-20,7.130000114440918
2024-03-21,7.139999866485596
2024-03-22,7.135000228881836
2024-03-25,7.28000020980835
2024-03-25,7.360000133514404
2024-03-26,7.179999828338623
2024-03-27,7.269999980926514
2024-04-16,6.59499979019165
2024-05-09,7.159999847412109
