date,price
2024-03-01,5.590000152587891
2024-03-04,5.820000171661377
2024-03-05,5.78000020980835
2024-03-06,5.630000114440918
2024-03-07,5.599999904632568
2024-03-08,5.570000171661377
2024-03-11,5.639999866485596
2024-03-12,5.605000019073486
2024-03-14,5.659999847412109
2024-03-15,5.71999979019165
2024-03-18,5.5
2024-03-19,5.510000228881836
2024-03-20,5.550000190734863
2024-03-20,5.5
2024-03-22,5.619999885559082
2024-03-25,5.599999904632568
2024-03-25,5.659999847412109
2024-03-26,5.570000171661377
