date,price
2024-03-01,7.050000190734863
2024-03-04,7.079999923706055
2024-03-05,7.210000038146973
2024-03-06,7.139999866485596
2024-03-07,6.909999847412109
2024-03-08,6.880000114440918
2024-03-11,6.739999771118164
2024-03-12,6.704999923706055
2024-03-14,6.550000190734863
2024-03-14,6.550000190734863
2024-03-18,6.769999980926514
2024-03-19,6.920000076293945
2024-03-20,7.289999961853027
2024-03-21,7.425000190734863
2024-03-22,7.46999979019165
2024-03-25,7.619999885559082
2024-03-25,7.800000190734863
2024-03-26,7.610000133514404
2024-03-27,7.619999885559082
2024-04-16,7.610000133514404
