date,price
2024-03-01,1.100000023841858
2024-03-04,1.090000033378601
2024-03-05,1.100000023841858
2024-03-06,1.090000033378601
2024-03-07,1.159999966621399
2024-03-08,1.2200000286102295
2024-03-11,1.2020000219345093
2024-03-12,1.2699999809265137
2024-03-14,1.2599999904632568
2024-03-15,1.2400000095367432
2024-03-18,1.2519999742507935
2024-03-19,1.2869999408721924
2024-03-20,1.2070000171661377
2024-03-21,1.2899999618530273
2024-03-22,1.274999976158142
2024-03-25,1.3170000314712524
2024-03-25,1.309999942779541
2024-03-26,1.3200000524520874
2024-03-27,1.340000033378601
