date,price
2024-03-01,2.3304169178009033
2024-03-04,2.2618749141693115
2024-03-05,2.2422916889190674
2024-03-06,2.2618749141693115
2024-03-07,2.3500001430511475
2024-03-08,2.3500001430511475
2024-03-11,2.319999933242798
2024-03-12,2.430000066757202
2024-03-14,2.430000066757202
2024-03-15,2.369999885559082
2024-03-18,2.3499999046325684
2024-03-19,2.4149999618530273
2024-03-20,2.440000057220459
2024-03-21,2.490000009536743
2024-03-22,2.4700000286102295
2024-03-25,2.509999990463257
2024-03-25,2.5
2024-03-26,2.569999933242798
2024-03-27,2.5999999046325684
2024-04-16,2.25
