date,price
2024-03-01,134.92999267578125
2024-03-04,135.5
2024-03-05,134.52000427246094
2024-03-06,133.3000030517578
2024-03-07,133.39999389648438
2024-03-08,133.64999389648438
2024-03-11,133.9199981689453
2024-03-12,134.25
2024-03-14,135.97000122070312
2024-03-15,134.5500030517578
2024-03-18,133.5500030517578
2024-03-19,134.9600067138672
2024-03-20,133.6300048828125
2024-03-20,132.1999969482422
2024-03-22,135.63999938964844
2024-03-25,136.61000061035156
2024-03-25,137.11000061035156
2024-03-26,133.38999938964844
2024-03-27,133.88999938964844
2024-04-16,117.37999725341797
2024-05-09,126.36000061035156
