date,price
2024-03-01,280.54425048828125
2024-03-04,277.6925964355469
2024-03-05,281.1900939941406
2024-03-06,280.4945373535156
2024-03-07,280.0474548339844
2024-03-08,283.644287109375
2024-03-11,280.7699890136719
2024-03-12,280.9700012207031
2024-03-14,282.6700134277344
2024-03-15,278.54998779296875
2024-03-18,278.9700012207031
2024-03-19,278.95001220703125
2024-03-20,281.0050048828125
2024-03-21,277.6600036621094
2024-03-22,276.0849914550781
2024-03-25,282.79998779296875
2024-03-25,283.69000244140625
