date,price
2024-03-01,30.479999542236328
2024-03-04,31.190000534057617
2024-03-05,31.0
2024-03-06,31.079999923706055
2024-03-07,30.969999313354492
2024-03-08,30.790000915527344
2024-03-11,30.25
2024-03-12,29.889999389648438
2024-03-14,30.959999084472656
2024-03-15,30.81999969482422
2024-03-18,30.06999969482422
2024-03-19,29.979999542236328
2024-03-20,30.420000076293945
2024-03-20,30.420000076293945
2024-03-22,31.3700008392334
2024-03-25,32.189998626708984
2024-03-25,33.2400016784668
2024-03-26,32.93000030517578
