date,price
2024-03-01,154.64999389648438
2024-03-04,158.0800018310547
2024-03-05,153.6999969482422
2024-03-06,151.9199981689453
2024-03-07,152.8000030517578
2024-03-08,154.1999969482422
2024-03-11,152.47000122070312
2024-03-12,152.1699981689453
2024-03-14,153.63999938964844
2024-03-15,151.4600067138672
2024-03-18,152.7100067138672
2024-03-19,152.75
2024-03-20,154.2100067138672
2024-03-20,155.16000366210938
2024-03-22,165.0
2024-03-25,163.39999389648438
2024-03-25,163.63999938964844
2024-03-26,162.49000549316406
