date,price
2024-03-01,7.377575874328613
2024-03-04,7.4462504386901855
2024-03-05,7.7013258934021
2024-03-06,7.769999980926514
2024-03-07,7.75
2024-03-08,7.989999771118164
2024-03-11,8.0
2024-03-12,7.929999828338623
2024-03-14,7.829999923706055
2024-03-15,7.829999923706055
2024-03-18,7.855000019073486
2024-03-19,7.800000190734863
2024-03-20,7.730000019073486
2024-03-20,7.610000133514404
2024-03-22,7.519999980926514
2024-03-25,7.710000038146973
2024-03-25,7.650000095367432
2024-03-26,7.650000095367432
2024-03-27,7.78000020980835
