date,price
2024-03-01,1.597000002861023
2024-03-04,1.6100000143051147
2024-03-05,1.565000057220459
2024-03-06,1.600000023841858
2024-03-07,1.659999966621399
2024-03-08,1.725000023841858
2024-03-11,1.715000033378601
2024-03-12,1.7400000095367432
2024-03-14,1.7599999904632568
2024-03-15,1.7050000429153442
2024-03-18,1.8049999475479126
2024-03-19,2.0
2024-03-20,1.975000023841858
2024-03-21,2.0299999713897705
2024-03-22,1.9950000047683716
2024-03-25,1.9900000095367432
2024-03-25,2.0
2024-03-26,2.059999942779541
2024-03-27,2.0899999141693115
2024-04-16,1.75
