date,price
2024-03-01 00:00:00+11:00,
2024-03-05 00:00:00+11:00,
2024-03-06 00:00:00+11:00,
2024-03-07 00:00:00+11:00,
2024-03-08 00:00:00+11:00,
2024-03-11 00:00:00+11:00,1.2000000476837158
