date,price
2024-03-01,4.340000152587891
2024-03-04,4.389999866485596
2024-03-05,4.630000114440918
2024-03-06,4.409999847412109
2024-03-07,4.510000228881836
2024-03-08,4.519999980926514
2024-03-11,4.429999828338623
2024-03-12,4.449999809265137
2024-03-14,3.549999952316284
2024-03-15,3.5250000953674316
2024-03-18,3.4049999713897705
2024-03-19,3.5450000762939453
2024-03-20,3.559999942779541
2024-03-21,3.75
2024-03-22,3.7200000286102295
2024-03-25,3.640000104904175
2024-03-25,3.5799999237060547
2024-03-26,3.630000114440918
2024-03-27,3.5399999618530273
2024-04-16,3.4800000190734863
