date,price
2024-02-29,126.26000213623047
2024-03-01,126.0
2024-03-04,126.19999694824219
2024-03-05,127.25
2024-03-06,126.43000030517578
2024-03-07,128.17999267578125
2024-03-08,129.17999267578125
2024-03-11,128.60000610351562
2024-03-13,129.8000030517578
2024-03-14,132.36000061035156
2024-03-15,131.42999267578125
2024-03-18,131.42999267578125
2024-03-19,130.0
2024-03-20,127.02999877929688
2024-03-21,128.64999389648438
2024-03-22,128.6300048828125
2024-03-22,128.6300048828125
2024-03-25,128.5500030517578
2024-03-26,128.5500030517578
2024-03-27,129.0399932861328
2024-04-15,139.2100067138672
2024-05-08,133.92999267578125
