date,price
2024-03-01,39.380001068115234
2024-03-04,40.220001220703125
2024-03-05,40.470001220703125
2024-03-06,40.54999923706055
2024-03-07,40.93000030517578
2024-03-08,41.7400016784668
2024-03-11,41.189998626708984
2024-03-12,40.650001525878906
2024-03-14,40.77000045776367
2024-03-15,39.79999923706055
2024-03-18,39.97999954223633
2024-03-19,40.349998474121094
2024-03-20,40.19499969482422
2024-03-20,40.400001525878906
2024-03-22,41.58000183105469
2024-03-25,41.400001525878906
2024-03-25,41.40999984741211
2024-03-26,42.099998474121094
2024-03-27,41.88999938964844
