date,price
2024-03-01,36.29999923706055
2024-03-04,36.61000061035156
2024-03-05,35.970001220703125
2024-03-06,35.470001220703125
2024-03-07,36.0
2024-03-08,36.29999923706055
2024-03-11,35.5099983215332
2024-03-12,35.415000915527344
2024-03-14,35.5
2024-03-15,34.584999084472656
2024-03-18,34.630001068115234
2024-03-19,34.90999984741211
2024-03-20,35.29999923706055
2024-03-21,35.755001068115234
2024-03-22,36.0
2024-03-25,36.58000183105469
2024-03-25,36.790000915527344
2024-03-26,35.97999954223633
2024-03-27,35.70000076293945
2024-04-16,33.33000183105469
2024-05-09,35.04999923706055
