date,price
2024-03-01,1.2599999904632568
2024-03-04,1.3200000524520874
2024-03-05,1.2949999570846558
2024-03-06,1.274999976158142
2024-03-07,1.274999976158142
2024-03-08,1.274999976158142
2024-03-11,1.2300000190734863
2024-03-12,1.2050000429153442
2024-03-14,1.159999966621399
2024-03-15,1.2050000429153442
2024-03-18,1.2269999980926514
2024-03-19,1.246999979019165
2024-03-20,1.2999999523162842
2024-03-21,1.3550000190734863
2024-03-22,1.3700000047683716
2024-03-25,1.3849999904632568
2024-03-25,1.3650000095367432
2024-03-26,1.340000033378601
2024-03-27,1.3200000524520874
