date,price
2024-03-01,2.9800000190734863
2024-03-04,2.940000057220459
2024-03-05,2.930000066757202
2024-03-06,2.9700000286102295
2024-03-07,2.9600000381469727
2024-03-08,3.0
2024-03-11,2.990000009536743
2024-03-12,3.009999990463257
2024-03-14,2.9800000190734863
2024-03-15,3.009999990463257
2024-03-18,3.015000104904175
2024-03-19,3.0299999713897705
2024-03-20,3.049999952316284
2024-03-21,3.0899999141693115
2024-03-22,3.0450000762939453
2024-03-25,3.0799999237060547
2024-03-25,3.069999933242798
2024-03-26,3.0289998054504395
2024-03-27,nan
2024-03-27,3.049999952316284
2024-04-16,2.8550000190734863
2024-05-09,2.944999933242798
