date,price
2024-03-01,3.515000104904175
2024-03-04,3.3399999141693115
2024-03-05,3.25
2024-03-06,3.2200000286102295
2024-03-07,3.3399999141693115
2024-03-08,3.299999952316284
2024-03-11,3.25
2024-03-12,3.3399999141693115
2024-03-14,3.4200000762939453
2024-03-14,3.4200000762939453
2024-03-18,3.369999885559082
2024-03-18,3.3399999141693115
2024-03-19,3.369999885559082
2024-03-20,3.299999952316284
2024-03-22,3.2699999809265137
2024-03-25,3.369999885559082
2024-03-26,3.319999933242798
2024-03-27,3.2799999713897705
2024-04-16,3.4000000953674316
2024-05-09,3.319999933242798
