date,price
2024-03-01,121.80999755859375
2024-03-04,122.20999908447266
2024-03-05,118.66999816894531
2024-03-06,115.16000366210938
2024-03-07,115.77999877929688
2024-03-08,116.58000183105469
2024-03-11,121.66000366210938
2024-03-12,124.33000183105469
2024-03-14,130.0
2024-03-15,123.48999786376953
2024-03-18,122.56999969482422
2024-03-19,122.88999938964844
2024-03-20,121.80999755859375
2024-03-20,121.77999877929688
2024-03-22,128.00999450683594
2024-03-25,124.44999694824219
2024-03-25,124.55999755859375
2024-03-26,126.55000305175781
2024-03-27,128.9600067138672
2024-04-16,112.88999938964844
