date,price
2024-03-01,1.1749999523162842
2024-03-04,1.2000000476837158
2024-03-05,1.2000000476837158
2024-03-06,1.215000033378601
2024-03-07,1.2200000286102295
2024-03-08,1.2450000047683716
2024-03-11,1.2549999952316284
2024-03-12,1.2400000095367432
2024-03-14,1.2050000429153442
2024-03-15,1.2050000429153442
2024-03-18,1.222000002861023
2024-03-19,1.2350000143051147
2024-03-20,1.2599999904632568
2024-03-21,1.2549999952316284
2024-03-22,1.2970000505447388
2024-03-25,1.2899999618530273
2024-03-25,1.2949999570846558
2024-03-26,1.2799999713897705
2024-03-27,nan
