date,price
2024-03-01,122.0999984741211
2024-03-04,122.61000061035156
2024-03-05,122.70999908447266
2024-03-06,121.7699966430664
2024-03-07,120.98999786376953
2024-03-08,121.7699966430664
2024-03-11,121.02999877929688
2024-03-12,121.20999908447266
2024-03-14,122.22000122070312
2024-03-15,122.2300033569336
2024-03-18,122.1500015258789
2024-03-19,122.5
2024-03-20,123.61000061035156
2024-03-21,123.97000122070312
2024-03-22,124.55000305175781
2024-03-25,125.05000305175781
2024-03-25,124.8499984741211
2024-03-26,124.55999755859375
2024-03-27,124.95999908447266
2024-04-16,121.43000030517578
2024-05-09,122.22000122070312
