date,price
2024-03-01,7.46999979019165
2024-03-04,7.489999771118164
2024-03-05,7.460000038146973
2024-03-06,7.409999847412109
2024-03-07,7.480000019073486
2024-03-08,7.570000171661377
2024-03-11,7.519999980926514
2024-03-12,7.559999942779541
2024-03-14,7.349999904632568
2024-03-15,7.269999980926514
2024-03-18,7.085000038146973
2024-03-19,7.059999942779541
2024-03-20,7.050000190734863
2024-03-21,7.119999885559082
2024-03-22,7.110000133514404
2024-03-25,7.110000133514404
2024-03-25,7.119999885559082
2024-03-26,6.989999771118164
2024-03-27,6.96999979019165
