date,price
2024-03-01,3.8399999141693115
2024-03-04,3.809999942779541
2024-03-05,3.819999933242798
2024-03-06,3.8299999237060547
2024-03-07,3.9100000858306885
2024-03-08,3.9600000381469727
2024-03-11,3.9200000762939453
2024-03-12,3.9149999618530273
2024-03-14,3.859999895095825
2024-03-15,3.8350000381469727
2024-03-18,3.8450000286102295
2024-03-19,3.869999885559082
2024-03-20,3.9200000762939453
2024-03-21,3.930000066757202
2024-03-22,3.9600000381469727
2024-03-25,3.9749999046325684
2024-03-25,3.9700000286102295
2024-03-26,3.9600000381469727
