date,price
2024-03-01,1.375
2024-03-04,1.4049999713897705
2024-03-05,1.4049999713897705
2024-03-06,1.4049999713897705
2024-03-07,1.4249999523162842
2024-03-08,1.4500000476837158
2024-03-11,1.4500000476837158
2024-03-12,1.434999942779541
2024-03-14,1.409999966621399
2024-03-15,1.3969999551773071
2024-03-18,1.399999976158142
2024-03-19,1.3899999856948853
2024-03-20,1.3550000190734863
2024-03-20,1.3350000381469727
2024-03-22,1.3200000524520874
2024-03-25,1.3049999475479126
2024-03-25,1.309999942779541
2024-03-26,1.2649999856948853
2024-03-27,nan
2024-03-27,1.2599999904632568
2024-04-16,1.1150000095367432
