date,price
2024-03-01,188.72000122070312
2024-03-04,188.36000061035156
2024-03-05,184.5800018310547
2024-03-06,184.32000732421875
2024-03-07,184.8000030517578
2024-03-08,187.6199951171875
2024-03-11,183.0800018310547
2024-03-12,183.75
2024-03-14,179.3300018310547
2024-03-15,177.97000122070312
2024-03-18,177.64999389648438
2024-03-19,178.3800048828125
2024-03-20,181.35499572753906
2024-03-20,184.72999572753906
2024-03-22,185.5
2024-03-25,187.0850067138672
2024-03-25,190.0399932861328
2024-03-26,186.00999450683594
2024-03-27,185.9199981689453
