date,price
2024-03-01,23.479999542236328
2024-03-04,23.31999969482422
2024-03-05,23.139999389648438
2024-03-06,23.100000381469727
2024-03-07,23.729999542236328
2024-03-08,23.5
2024-03-11,23.40999984741211
2024-03-12,23.399999618530273
2024-03-14,23.1200008392334
2024-03-15,22.81999969482422
2024-03-18,22.959999084472656
2024-03-19,23.139999389648438
2024-03-20,23.469999313354492
2024-03-21,23.5
2024-03-22,23.420000076293945
2024-03-25,23.739999771118164
2024-03-25,24.25
2024-03-26,24.399999618530273
2024-03-27,24.709999084472656
2024-04-16,25.149999618530273
2024-05-09,24.950000762939453
