date,price
2024-03-01,2.200000047683716
2024-03-04,2.2100000381469727
2024-03-05,2.240000009536743
2024-03-06,2.25
2024-03-07,2.2899999618530273
2024-03-08,2.390000104904175
2024-03-11,2.4049999713897705
2024-03-12,2.4549999237060547
2024-03-14,2.319999933242798
2024-03-15,2.2300000190734863
2024-03-18,2.3299999237060547
2024-03-19,2.3299999237060547
2024-03-20,2.25
2024-03-20,2.140000104904175
2024-03-22,2.1649999618530273
2024-03-25,2.140000104904175
2024-03-25,2.119999885559082
2024-03-26,2.0999999046325684
