date,price
2024-03-01,138.72999572753906
2024-03-04,139.60000610351562
2024-03-05,140.39999389648438
2024-03-06,139.1699981689453
2024-03-07,138.6199951171875
2024-03-08,139.2100067138672
2024-03-11,139.00999450683594
2024-03-12,139.05999755859375
2024-03-14,138.9199981689453
2024-03-15,139.57000732421875
2024-03-18,139.38999938964844
2024-03-19,139.13999938964844
2024-03-20,140.25
2024-03-21,139.0800018310547
2024-03-22,139.27000427246094
2024-03-25,139.9499969482422
2024-03-25,139.63999938964844
2024-03-26,139.32000732421875
2024-03-27,140.80999755859375
2024-04-16,135.64999389648438
